project;plan
link_field_attributes;"Drupal 9 compatible"
feeds_dm;"Currently supported on Drupal 9.x"
liftigniter;"<p>LiftIgniter 8.x-1.x+ supports Drupal 9. Enjoy.</p>"
farmos_wfs;"Complete. farmOS 2.x (Drupal 9) releases can be found on <a href=""https://packagist.org/packages/symbioquine/farmos_wfs"">Packagist</a> and are installable via Composer."
flysystem_azure;"This works with Drupal 9 out of the box."
flickr_api_gallery;"Module is build on drupal 9 so it has full support od D9."
jsonapi_flysystem_uploader;"Fully supported as of v8.x-1.1."
fontawesome_icon;"Use this project instead: <a href=""https://www.drupal.org/project/fontawesome"" title=""Font Awesome Icon"">Font Awesome Icon</a>."
focusedentityreference;"This module is Drupal 9 compatible."
lametric;"Drupal 9 is fully supported!"
landbot;"This project supports Drupal 9."
kiyoh_rating;"D9 Ready"
fills;"We will do a drupal 9 port of it when bootstrap barrio create a drupal 9 version."
jwt_block;"Works in Drupal 9"
file_update;"Ported to D9."
keyboard_shortcuts;"D9 ready"
keyvalue_filestore;"Nothing in this module is D8 specific. It should work fine in D9."
service_comment_count_disqus;"The module is Drupal 9 compatible."
commerce_paykings;"<h2>Drupal 9 Compatibility</h2> The Paykings Payment Gateway is safe to be installed on the D9 project."
section_protection;"This module will be ported to Drupal 9 but has not currently been tested against Drupal 9.  For work related to this see this: <a href=""https://www.drupal.org/project/section_protection/issues/3207871"">[issue]</a>"
commerce_peach;"There is no Drupal 9 version as of yet."
commerceg_product_group;"The module is written directly on Drupal 9."
commerce_findock;"Drupal 9 compatible."
commerce_feefo;"This module should work with Drupal 9, but has not been tested."
commerce_exchanger_cryptocompare;"2.x is Drupal 9 ready!"
simplenews_decoupled;"The code of this project is Drupal 9 ready!"
simplenews_subscriber_filters;"written on Drupal 9."
shifting_layout_blocks;"The module is Drupal 9 compatible."
shortify;"Ready to use!"
commerce_wallee;"This module is Drupal 9 ready."
rules_session_vars;"Supports 8.x and 9.x core."
component_schema;"Component Schema is compatible with Drupal 9."
risk;"This module is Drupal 9 ready."
robolytix;"Working well on Drupal 9."
commerce_xero;"Should be compatible"
search_adds;"Tested and working on Drupal 9"
search_api_attachments_php;"This module was developed in D9."
commerce_rng;"Help port this project at [#3126897]"
commerce_tax_exemption;"This module will work with Drupal 9 out of the box."
splio;"The 8.x-1.x has a working version of Drupal 9 compatibility."
sponsor;"the 1.0 version is compatible with Drupal 9."
cms_breadcrumbs;"This module is Drupal 9 compatible"
stackla_widget;"The module is compatible with Drupal 9"
cmrf_form_processor;"This module is Drupal 9 ready."
coder;"Coder does not need to be ported to Drupal 9 since it applies to all Drupal versions."
studentsdbexample;[#3119081]
state_form_base;"D9 ready"
static_root_page;"2019-07-31: No drupal-check errors in this module"
sitesearch_360;"This Module is D9 ready"
site_version_host;"Compatible with Drupal 9"
sis;"8.x-1.0-alpha2+ is Drupal 9 compatible."
sitewide_msg;"No Drupal 8/9 version is expected, we kindly asking you to point your attention to the similar module <a href=""https://www.drupal.org/project/site_alert"">Site Alert</a> and to consolidate efforts over there."
simple_sitemap_extensions;"The module is d9-compatible"
simplerads;"This module is Drupal 9 ready."
commerce_dellin;"As soon as Drupal Commerce Shipping will be ready."
simple_sitemap_auth;"Drupal 9 ready"
simple_tmgmt;"Is Drupal 9 compatible"
slack_rtm;"Drupal 9 is fully supported since version 8.x-1.0-alpha6."
smsru;"Ready to port in any time, no deperaction usage, will be ported as soon as possible."
commerce_byjuno;"Drupal 9 Ready"
datamaps;"I pledge this module will be written D9 compatability in mind from scratch."
perfectmoney;"This module has been updated to work with the store on Drupal 9."
danse_label_override;"This module should be good for Drupal 9 sites. I'll be testing that soon, but haven't gotten there yet."
personalized_paragraphs;"This module has not yet been tested on Drupal 9"
payeer;"This module has been updated to work with the store on Drupal 9."
dbb;"done in part"
paydirectfpx;"<ol>  <li>Read more about this module at https://www.betterpay.me</li>  <li>If you got any problem, feel free to contact us at support@betterpay.me</li>  </ol>"
personalization_by_terms;"Works for Drupal 9."
personify;"Ready for Drupal 9"
pixelsize;READY!
places_near_by;"Drupal 9 is here"
phpinsights;[#3086288]
domain_exception;"In progress in development"
openy_rose;"sure it is"
orange_starter;"Drupal 9 ready!"
oswald;"We plan to build this D8 and D9 safe"
openy_socrates;Ready!!!
openy_mappings;Ready!
openy_activity_finder;"both 3.x and 4.x work with Drupal 9"
openy_addthis;ready
openy_branch_selector;ready
openy_carnation;"sure it is"
openy_daxko2;"Ready for Drupal 9"
openy_er;"It's here"
openy_gtranslate;ready
denormalized_webform_filters;"It's Drupal 9 compatible."
default_content_access;"This project is ready for Drupal 9"
development_assistant;"Drupal 9 ready"
package_field;"Drupal 9 compatible."
differential_serve;"This module is compatible with Drupal 9."
dfinance;"Development will switch from Drupal 8 to Drupal 9 on release, first full release of Drupal Finance expected to be a Drupal 9 release."
page_themes;"This module is ready for Drupal 9."
content_moderation_menu;"Under review"
readonlydeployment;"Drupal 9 Ready"
recaptcha_preloader;"Ready for Drupal 9"
content_moderation_notifications_field;"Drupal 9 compatible."
responsive_image_preload;"This module is Drupal 9 ready."
contactmap;[#3125089]
congruency;"This module is currently only used with D9."
report_paragraphs_usage;"D9 Ready"
request_logger;"Works the same on Drupal 8 and 9."
configurable_theme_libraries;"8.x-1.2+ is Drupal 9 compatible."
config_tweak;"Config Tweak is Drupal 9 compatible."
createcontentwithcategory;"Built for Drupal 9 and 8.8+"
crawlers_cache_context;"This module is currently fully compatible with Drupal 9"
protected_routes;"Not ready but planned."
prototype_select;"Works with Drupal 9"
crownpeak_autofix;"Supports Drupal 9"
presspatron;"Fully supported as of 8.x-1.0-beta1."
cs_adaptive_image;[#3140131]
convert_entity_media_embed;"This module is Drupal 9 compatible."
qb_chantilly;"Currently, we have no plans to port this theme to Drupal 9"
qs_article;"in progress"
